type,qual_dens,lat,lon
seagrass,trace,59.638653777777776,-151.446854
seagrass,trace,59.63874855555553,-151.447043
seagrass,none,59.638843333333334,-151.44723199999999
seagrass,none,59.638938111111095,-151.447421
seagrass,thin,59.63903288888891,-151.44761
seagrass,moderate,59.63912766666673,-151.44779900000003
seagrass,thick,59.63922244444445,-151.44798799999998
seagrass,thick,59.63931722222219,-151.448177
seagrass,moderate,59.639510999999956,-151.44856744444445
seagrass,moderate,59.639610000000005,-151.44876888888888
seagrass,thick,59.639709000000025,-151.44897033333334
seagrass,thick,59.63980800000001,-151.44917177777776
seagrass,thick,59.639906999999994,-151.44937322222222
seagrass,thick,59.640005999999964,-151.44957466666665
seagrass,thick,59.640105,-151.4497761111111
seagrass,thick,59.64020400000003,-151.44997755555553
seagrass,thick,59.64039111111107,-151.4503472222222
seagrass,thick,59.64047922222223,-151.45051544444445
seagrass,thick,59.64056733333332,-151.45068366666666
seagrass,thick,59.64065544444443,-151.45085188888888
seagrass,thick,59.64074355555556,-151.45102011111112
seagrass,thick,59.640831666666664,-151.45118833333333
seagrass,thick,59.64091977777774,-151.45135655555555
seagrass,thick,59.64100788888887,-151.4515247777778
seagrass,thick,59.64119511111106,-151.451862
seagrass,thick,59.641294222222236,-151.452031
seagrass,thick,59.641393333333305,-151.4522
seagrass,thick,59.6414924444444,-151.452369
seagrass,thick,59.64159155555555,-151.452538
seagrass,moderate,59.64169066666666,-151.452707
seagrass,thick,59.64178977777781,-151.452876
seagrass,moderate,59.64188888888886,-151.453045
seagrass,thick,59.64208311111112,-151.45337522222223
seagrass,sparse,59.64217822222222,-151.45353644444444
seagrass,sparse,59.64227333333335,-151.4536976666667
seagrass,thin,59.64236844444443,-151.4538588888889
seagrass,sparse,59.64246355555552,-151.4540201111111
seagrass,thin,59.64255866666666,-151.45418133333334
seagrass,sparse,59.642653777777774,-151.45434255555557
seagrass,sparse,59.64274888888888,-151.45450377777777
seagrass,thin,59.6429282222222,-151.45485277777777
seagrass,sparse,59.64301244444443,-151.45504055555557
seagrass,sparse,59.64309666666665,-151.45522833333334
seagrass,trace,59.643180888888885,-151.4554161111111
seagrass,trace,59.64326511111109,-151.4556038888889
seagrass,none,59.643349333333305,-151.45579166666667
seagrass,none,59.64343355555557,-151.45597944444444
seagrass,none,59.64351777777778,-151.45616722222223
seagrass,trace,59.64372480000001,-151.4565172
seagrass,none,59.643847600000015,-151.4566794
seagrass,trace,59.64397040000001,-151.4568416
seagrass,trace,59.644093199999986,-151.4570038
seagrass,sparse,59.64931199999998,-151.442835
seagrass,sparse,59.647264999999976,-151.446315
seagrass,sparse,59.645198,-151.449871
seagrass,moderate,59.64314099999999,-151.453312
seagrass,thin,59.64130199999999,-151.456629
seagrass,sparse,59.64908455555556,-151.44322166666666
seagrass,sparse,59.64885711111113,-151.44360833333334
seagrass,sparse,59.64862966666667,-151.44399500000003
seagrass,sparse,59.64840222222221,-151.44438166666666
seagrass,sparse,59.64817477777776,-151.44476833333334
seagrass,trace,59.647947333333306,-151.445155
seagrass,sparse,59.64771988888886,-151.44554166666666
seagrass,sparse,59.64749244444444,-151.44592833333334
seagrass,trace,59.647035333333314,-151.44671011111112
seagrass,trace,59.64680566666663,-151.44710522222226
seagrass,sparse,59.64657600000002,-151.44750033333332
seagrass,sparse,59.64634633333332,-151.44789544444444
seagrass,sparse,59.64611666666667,-151.44829055555556
seagrass,sparse,59.645887,-151.44868566666668
seagrass,thin,59.64565733333333,-151.44908077777777
seagrass,thin,59.64542766666664,-151.44947588888888
seagrass,thin,59.64496944444445,-151.45025333333334
seagrass,trace,59.644740888888876,-151.45063566666667
seagrass,thin,59.644512333333346,-151.451018
seagrass,moderate,59.64428377777779,-151.45140033333334
seagrass,sparse,59.644055222222235,-151.45178266666667
seagrass,thin,59.64382666666667,-151.452165
seagrass,thin,59.643598111111125,-151.45254733333334
seagrass,moderate,59.64336955555557,-151.45292966666668
seagrass,thin,59.64293666666669,-151.45368055555556
seagrass,thin,59.64273233333329,-151.45404911111112
seagrass,thin,59.64252800000001,-151.45441766666667
seagrass,moderate,59.642323666666684,-151.45478622222222
seagrass,thick,59.64211933333336,-151.45515477777778
seagrass,moderate,59.641915,-151.45552333333333
seagrass,moderate,59.64171066666666,-151.45589188888889
seagrass,thin,59.64150633333333,-151.45626044444444
seagrass,none,59.609600000000015,-151.430641
seagrass,thick,59.61009399999998,-151.431913
seagrass,sparse,59.610592,-151.433177
